date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:11	12452/12452	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/team-members-with-media/images/image-22.ws-intense-next-coworking.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/team-members-with-media/images/image-22.ws-intense-next-coworking.jpg	(from https://web-spark.yolasite.com/)
09:41:11	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:11%20GMT	https://web-spark.yolasite.com/ws/block-templates/counters/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/counters/index.html	(from https://web-spark.yolasite.com/)
09:41:13	10001/10001	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/team-members-with-media/images/image-21.ws-intense-next-coworking.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/team-members-with-media/images/image-21.ws-intense-next-coworking.jpg	(from https://web-spark.yolasite.com/)
09:41:13	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:13%20GMT	https://web-spark.yolasite.com/ws/block-templates/cta-with-extra-content/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/cta-with-extra-content/index.html	(from https://web-spark.yolasite.com/)
09:41:18	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:15%20GMT	https://web-spark.yolasite.com/ws/block-templates/business-card/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/business-card/index.html	(from https://web-spark.yolasite.com/)
09:41:18	61265/61265	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/counters/images/image-1.ws-intense-next-coworking.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/counters/images/image-1.ws-intense-next-coworking.jpg	(from https://web-spark.yolasite.com/)
09:41:19	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:19%20GMT	https://web-spark.yolasite.com/ws/globals/site-name/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/site-name/index.html	(from https://web-spark.yolasite.com/)
09:41:20	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:20%20GMT	https://web-spark.yolasite.com/ws/globals/social-links/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/social-links/index.html	(from https://web-spark.yolasite.com/)
09:41:20	61305/61305	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/media-library/bc2fa27af6a24a1bb019b97db3e2babe/banner-bg.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/media-library/bc2fa27af6a24a1bb019b97db3e2babe/banner-bg.jpg	(from https://web-spark.yolasite.com/)
09:41:20	858/858	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/common/icons/linkedin-logo.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/common/icons/linkedin-logo.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:21	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:21%20GMT	https://web-spark.yolasite.com/ws/globals/business-name/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/business-name/index.html	(from https://web-spark.yolasite.com/)
09:41:22	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:22%20GMT	https://web-spark.yolasite.com/ws/globals/business-description/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/business-description/index.html	(from https://web-spark.yolasite.com/)
09:41:23	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:22%20GMT	https://web-spark.yolasite.com/ws/block-templates/partners-clients-sponsors-awards/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/partners-clients-sponsors-awards/index.html	(from https://web-spark.yolasite.com/)
09:41:24	6343/6343	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/partners/images/image-1.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/partners/images/image-1.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:25	18682/18682	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/partners/images/image-2.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/partners/images/image-2.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:25	14579/14579	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/partners/images/image-3.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/partners/images/image-3.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:26	18851/18851	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/partners/images/image-4.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/partners/images/image-4.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
